date,user,pc,activity
2011-05-01 07:57:00,MWG1570,PC-0031,Logon
2011-05-01 07:57:00,OCH2853,PC-2512,Logon
2011-05-01 07:58:00,RHO0678,PC-9728,Logon
2011-05-01 07:58:00,ZDC2523,PC-2312,Logon
2011-05-01 07:59:00,HHF1995,PC-4472,Logon
2011-05-01 07:59:00,MLW2240,PC-1960,Logon
2011-05-01 07:59:00,NNM2862,PC-2840,Logon
2011-05-01 08:00:00,AJS3021,PC-4517,Logon
2011-05-01 08:00:00,BKF1545,PC-9378,Logon
2011-05-01 08:00:00,CHC0252,PC-8009,Logon
2011-05-01 08:00:00,KBG1117,PC-6532,Logon
2011-05-01 08:00:00,KSO2224,PC-6807,Logon
2011-05-01 08:01:00,AKH0454,PC-2966,Logon
2011-05-01 08:01:00,CRC0348,PC-9798,Logon
2011-05-01 08:01:00,LWB2851,PC-5558,Logon
2011-05-01 08:03:00,GES2626,PC-8285,Logon
2011-05-01 08:03:00,IRS1337,PC-1290,Logon
2011-05-01 08:03:00,MPH0153,PC-8227,Logon
2011-05-01 08:04:00,IKC1205,PC-8568,Logon
2011-05-01 08:04:00,MBN3610,PC-8169,Logon
2011-05-01 08:04:00,SOB0089,PC-6172,Logon
2011-05-01 08:04:00,TKM1539,PC-3295,Logon
2011-05-01 08:04:00,YCL0824,PC-6421,Logon
2011-05-01 08:05:00,HMM2628,PC-4056,Logon
2011-05-01 08:06:00,CCT2165,PC-2738,Logon
2011-05-01 08:06:00,JJS2973,PC-4665,Logon
2011-05-01 08:06:00,PEV3955,PC-4993,Logon
2011-05-01 08:06:00,YKW3832,PC-2158,Logon
2011-05-01 08:07:00,MBH0527,PC-9620,Logon
2011-05-01 08:08:00,AKB2312,PC-0937,Logon
2011-05-01 08:08:00,IBP1616,PC-8035,Logon
2011-05-01 08:09:00,ABD3426,PC-8657,Logon
2011-05-01 08:09:00,ISB0256,PC-3808,Logon
2011-05-01 08:10:00,CMD0613,PC-8839,Logon
2011-05-01 08:10:00,SKE3262,PC-7089,Logon
2011-05-01 08:11:00,ONR3291,PC-9573,Logon
2011-05-01 08:13:00,TKS3035,PC-3025,Logon
2011-05-01 08:14:00,CHM1561,PC-7046,Logon
2011-05-01 08:15:00,ADP3667,PC-3802,Logon
2011-05-01 08:15:00,APB3823,PC-4062,Logon
2011-05-01 08:15:00,IMC3296,PC-2659,Logon
2011-05-01 08:15:00,KAS2029,PC-6729,Logon
2011-05-01 08:15:00,RPB0029,PC-1502,Logon
2011-05-01 08:16:00,CDC3413,PC-1539,Logon
2011-05-01 08:16:00,IPK2575,PC-0615,Logon
2011-05-01 08:16:00,JAY3851,PC-8807,Logon
2011-05-01 08:16:00,OKH3777,PC-5467,Logon
2011-05-01 08:17:00,CXM1821,PC-8083,Logon
2011-05-01 08:17:00,DJS1127,PC-6321,Logon
2011-05-01 08:18:00,BCM3794,PC-7608,Logon
2011-05-01 08:19:00,MTS0465,PC-6836,Logon
2011-05-01 08:19:00,VCF3273,PC-5191,Logon
2011-05-01 08:20:00,JDM1042,PC-1105,Logon
2011-05-01 08:21:00,YNW2855,PC-0624,Logon
2011-05-01 08:22:00,NRK3448,PC-5787,Logon
2011-05-01 08:23:00,SER0621,PC-5436,Logon
2011-05-01 08:25:00,AEM0554,PC-0514,Logon
2011-05-01 08:26:00,TAM3048,PC-9889,Logon
2011-05-01 08:26:00,XBW2502,PC-7681,Logon
2011-05-01 08:28:00,ATT1191,PC-2057,Logon
2011-05-01 08:29:00,JEM0546,PC-0308,Logon
2011-05-01 08:31:00,DFC2060,PC-2360,Logon
2011-05-01 08:31:00,KNM1154,PC-4927,Logon
2011-05-01 08:31:00,NBT3447,PC-0882,Logon
2011-05-01 08:32:00,BEH0103,PC-6970,Logon
2011-05-01 08:32:00,ZAR0404,PC-7841,Logon
2011-05-01 08:33:00,DAE1437,PC-7342,Logon
2011-05-01 08:33:00,SAR2066,PC-0983,Logon
2011-05-01 08:34:00,LCC1963,PC-1027,Logon
2011-05-01 08:35:00,MAW0532,PC-4652,Logon
2011-05-01 08:35:00,RWS3699,PC-9819,Logon
2011-05-01 08:36:00,EDJ1970,PC-1301,Logon
2011-05-01 08:37:00,GKL0006,PC-3525,Logon
2011-05-01 08:38:00,SKS0339,PC-3290,Logon
2011-05-01 08:39:00,TJD0106,PC-6916,Logon
2011-05-01 08:41:00,REC0283,PC-6764,Logon
2011-05-01 08:41:37,WRW2331,PC-2741,Logon
2011-05-01 08:42:00,EJP2975,PC-9179,Logon
2011-05-01 08:42:17,IMC3296,PC-0627,Logon
2011-05-01 08:43:00,HMR0098,PC-3930,Logon
2011-05-01 08:45:00,BLN0230,PC-0151,Logon
2011-05-01 08:46:00,JIR2594,PC-1709,Logon
2011-05-01 08:47:00,HMB0805,PC-0242,Logon
2011-05-01 08:52:00,CPC0724,PC-8032,Logon
2011-05-01 08:53:00,DCM3596,PC-0355,Logon
2011-05-01 08:54:00,CGG3388,PC-5178,Logon
2011-05-01 08:55:00,FHA3387,PC-7770,Logon
2011-05-01 09:01:00,CMM0764,PC-9724,Logon
2011-05-01 09:02:00,MMS0241,PC-2800,Logon
2011-05-01 09:02:27,WRW2331,PC-2741,Logoff
2011-05-01 09:03:00,BWJ0136,PC-4366,Logon
2011-05-01 09:03:00,THF2879,PC-2467,Logon
2011-05-01 09:04:26,IMC3296,PC-0627,Logoff
2011-05-01 09:06:00,RAA1455,PC-7117,Logon
2011-05-01 09:15:00,SRS0129,PC-7008,Logon
2011-05-01 09:19:00,ACH1910,PC-0328,Logon
2011-05-01 09:20:00,BOR2387,PC-2983,Logon
2011-05-01 09:36:00,UMB0055,PC-1021,Logon
2011-05-01 09:55:31,JKC2754,PC-0396,Logon
2011-05-01 10:07:40,CHC0252,PC-8009,Logon
2011-05-01 10:19:16,CGW0692,PC-6774,Logon
2011-05-01 10:24:25,PEV3955,PC-4993,Logon
2011-05-01 10:27:58,KPS3882,PC-9504,Logon
2011-05-01 10:29:33,MTS0465,PC-4715,Logon
2011-05-01 10:31:23,JKC2754,PC-0396,Logoff
2011-05-01 10:34:22,MTS0465,PC-4715,Logoff
2011-05-01 10:36:21,TAM3048,PC-2043,Logon
2011-05-01 10:41:48,MMR1695,PC-8796,Logon
2011-05-01 10:52:42,MTS0465,PC-0643,Logon
2011-05-01 10:53:55,TAM3048,PC-2043,Logoff
2011-05-01 11:01:14,MTS0465,PC-0643,Logoff
2011-05-01 11:02:45,HHF1995,PC-4472,Logon
2011-05-01 11:05:06,LAF2213,PC-3090,Logon
2011-05-01 11:14:48,HDB1666,PC-6793,Logon
2011-05-01 11:21:41,DAR0709,PC-4052,Logon
2011-05-01 11:27:54,TJD0106,PC-6916,Logon
2011-05-01 11:29:11,RCH2447,PC-0226,Logon
2011-05-01 11:29:37,DCM3596,PC-0355,Logon
2011-05-01 11:30:24,GDM3960,PC-7415,Logon
2011-05-01 11:31:20,JAY3851,PC-8807,Logon
2011-05-01 11:38:52,KJS1940,PC-3182,Logon
2011-05-01 11:43:35,MBH0527,PC-9620,Logon
2011-05-01 11:50:23,JSH3019,PC-3455,Logon
2011-05-01 11:52:06,JDM1042,PC-1105,Logon
2011-05-01 11:54:22,ISB0256,PC-3808,Logon
2011-05-01 11:54:22,NRK3448,PC-5787,Logon
2011-05-01 11:54:53,AMA2808,PC-3872,Logon
2011-05-01 11:55:39,IRS1337,PC-1290,Logon
2011-05-01 11:57:27,WBH1861,PC-8987,Logon
2011-05-01 11:58:13,AJS3021,PC-4517,Logon
2011-05-01 12:00:56,AFP2709,PC-3154,Logon
2011-05-01 12:02:58,LCC1963,PC-1027,Logon
2011-05-01 12:04:37,TAM3048,PC-4561,Logon
2011-05-01 12:07:00,DAE1437,PC-7342,Logon
2011-05-01 12:09:44,MJA2380,PC-2940,Logon
2011-05-01 12:11:45,SAR2066,PC-0983,Logon
2011-05-01 12:13:15,MAW0532,PC-4652,Logon
2011-05-01 12:15:20,RCT1697,PC-5770,Logon
2011-05-01 12:15:55,MWG1570,PC-0031,Logon
2011-05-01 12:18:46,TAM3048,PC-4561,Logoff
2011-05-01 12:21:23,TKM1539,PC-3295,Logon
2011-05-01 12:25:04,JOC3621,PC-0329,Logon
2011-05-01 12:28:51,GKL0006,PC-3525,Logon
2011-05-01 12:33:32,LXS0332,PC-4458,Logon
2011-05-01 12:33:47,JLC0216,PC-3253,Logon
2011-05-01 12:35:36,WBB2321,PC-3292,Logon
2011-05-01 12:37:49,HMY0235,PC-7084,Logon
2011-05-01 12:39:02,NBT3447,PC-0882,Logon
2011-05-01 12:40:54,ABM3641,PC-5717,Logon
2011-05-01 12:41:55,AEM0554,PC-0514,Logon
2011-05-01 12:42:11,UCW2995,PC-7862,Logon
2011-05-01 12:43:39,ARK3198,PC-9151,Logon
2011-05-01 12:44:25,CPC0724,PC-8032,Logon
2011-05-01 12:44:34,TDK1689,PC-7593,Logon
2011-05-01 12:44:36,ZRM0694,PC-6816,Logon
2011-05-01 12:47:54,TJS3067,PC-5461,Logon
2011-05-01 12:48:54,BEH0103,PC-6970,Logon
2011-05-01 12:50:37,MLW2240,PC-1960,Logon
2011-05-01 12:51:10,ISJ1479,PC-0043,Logon
2011-05-01 12:51:20,SRR2711,PC-6931,Logon
2011-05-01 12:51:47,SRS0129,PC-7008,Logon
2011-05-01 12:54:07,OCH2853,PC-2512,Logon
2011-05-01 12:55:04,ABD3426,PC-8657,Logon
2011-05-01 12:55:44,ABM3641,PC-5717,Logoff
2011-05-01 13:04:36,YCL0824,PC-6421,Logon
2011-05-01 13:05:26,IKC1205,PC-8568,Logon
2011-05-01 13:07:18,ACH1910,PC-0328,Logon
2011-05-01 13:07:37,QBL1386,PC-2737,Logon
2011-05-01 13:08:26,JEM0546,PC-0308,Logon
2011-05-01 13:10:16,TKS3035,PC-3025,Logon
2011-05-01 13:13:28,DRB0202,PC-0568,Logon
2011-05-01 13:17:49,GJS0160,PC-4170,Logon
2011-05-01 13:19:23,BMC3636,PC-5581,Logon
2011-05-01 13:25:15,TGH3351,PC-0681,Logon
2011-05-01 13:27:34,BDR0510,PC-1197,Logon
2011-05-01 13:27:39,KSO2224,PC-6807,Logon
2011-05-01 13:31:18,RVV0317,PC-1918,Logon
2011-05-01 13:36:48,MBN3610,PC-8169,Logon
2011-05-01 13:38:00,OKH3777,PC-5467,Logon
2011-05-01 13:38:35,MBH0527,PC-1394,Logon
2011-05-01 13:39:52,JET2299,PC-8010,Logon
2011-05-01 13:39:53,IBP1616,PC-8035,Logon
2011-05-01 13:40:57,RTS2009,PC-4172,Logon
2011-05-01 13:42:39,REC0283,PC-6764,Logon
2011-05-01 13:44:54,DJS1127,PC-6321,Logon
2011-05-01 13:45:05,HMB0805,PC-0242,Logon
2011-05-01 13:47:53,GES2626,PC-8285,Logon
2011-05-01 13:48:21,MBH0527,PC-1394,Logoff
2011-05-01 13:49:58,KNM1154,PC-4927,Logon
2011-05-01 13:50:41,CMM0764,PC-9724,Logon
2011-05-01 13:53:03,CCT2165,PC-2738,Logon
2011-05-01 13:53:52,NNM2862,PC-2840,Logon
2011-05-01 13:55:39,EJP2975,PC-9179,Logon
2011-05-01 13:56:04,YNW2855,PC-0624,Logon
2011-05-01 13:56:29,ZRM0694,PC-9508,Logon
2011-05-01 13:57:03,VCF3273,PC-5191,Logon
2011-05-01 14:00:28,RWS3699,PC-9819,Logon
2011-05-01 14:03:00,GKL0006,PC-1394,Logon
2011-05-01 14:04:25,FHA3387,PC-7770,Logon
2011-05-01 14:04:44,XBW2502,PC-1337,Logon
2011-05-01 14:04:52,ZRM0694,PC-9508,Logoff
2011-05-01 14:07:22,JIR2594,PC-1709,Logon
2011-05-01 14:11:32,EDJ1970,PC-1301,Logon
2011-05-01 14:14:13,XBW2502,PC-1337,Logoff
2011-05-01 14:15:00,HLO2756,PC-9822,Logoff
2011-05-01 14:16:16,BKF1545,PC-6160,Logon
2011-05-01 14:17:19,KPB1123,PC-5004,Logon
2011-05-01 14:18:34,KPB1123,PC-5004,Logoff
2011-05-01 14:26:00,ABM3203,PC-8311,Logoff
2011-05-01 14:26:00,BMN3207,PC-9138,Logoff
2011-05-01 14:29:00,JKC2754,PC-3138,Logoff
2011-05-01 14:29:08,RTS2009,PC-4172,Logoff
2011-05-01 14:30:00,CHU3211,PC-5189,Logoff
2011-05-01 14:57:10,BKF1545,PC-6160,Logoff
2011-05-01 14:57:27,GKL0006,PC-1394,Logoff
2011-05-01 14:58:00,AKB2312,PC-0937,Logoff
2011-05-01 14:58:50,MMS0241,PC-2800,Logon
2011-05-01 15:00:00,TJS3067,PC-5461,Logoff
2011-05-01 15:01:00,KCR2291,PC-1603,Logoff
2011-05-01 15:02:00,JET2299,PC-8010,Logoff
2011-05-01 15:02:00,SRR2711,PC-6931,Logoff
2011-05-01 15:13:00,MJA2380,PC-2940,Logoff
2011-05-01 15:15:00,AFP2709,PC-3154,Logoff
2011-05-01 15:19:00,CGW0692,PC-6774,Logoff
2011-05-01 15:19:12,BOR2387,PC-6701,Logon
2011-05-01 15:25:00,ARK3198,PC-9151,Logoff
2011-05-01 15:25:00,ZRM0694,PC-6816,Logoff
2011-05-01 15:26:00,DRB0202,PC-0568,Logoff
2011-05-01 15:27:00,TWM2199,PC-9826,Logoff
2011-05-01 15:32:00,DAR0709,PC-4052,Logoff
2011-05-01 15:33:00,KAS2029,PC-6729,Logoff
2011-05-01 15:37:00,DMH0011,PC-3875,Logoff
2011-05-01 15:42:00,LLT0291,PC-1250,Logoff
2011-05-01 15:43:00,EJP2975,PC-9179,Logoff
2011-05-01 15:45:00,JOC3621,PC-0329,Logoff
2011-05-01 15:48:51,JKC2754,PC-3138,Logon
2011-05-01 15:50:00,IRS1337,PC-1290,Logoff
2011-05-01 15:50:00,ISB0256,PC-3808,Logoff
2011-05-01 15:51:00,KJS1940,PC-3182,Logoff
2011-05-01 15:52:00,CCT2165,PC-2738,Logoff
2011-05-01 15:53:00,SER0621,PC-5436,Logoff
2011-05-01 15:54:00,MAW0532,PC-4652,Logoff
2011-05-01 15:56:00,QBL1386,PC-2737,Logoff
2011-05-01 15:56:00,TKS3035,PC-3025,Logoff
2011-05-01 15:56:59,BOR2387,PC-6701,Logoff
2011-05-01 15:57:00,KSO2224,PC-6807,Logoff
2011-05-01 15:58:00,GKL0006,PC-3525,Logoff
2011-05-01 15:59:00,DCM3596,PC-0355,Logoff
2011-05-01 16:00:00,CHC0252,PC-8009,Logoff
2011-05-01 16:01:00,CAR2244,PC-0194,Logoff
2011-05-01 16:01:00,HMR0098,PC-3930,Logoff
2011-05-01 16:02:00,ZDC2523,PC-2312,Logoff
2011-05-01 16:04:57,LXS0332,PC-9918,Logon
2011-05-01 16:05:00,MLW2240,PC-1960,Logoff
2011-05-01 16:07:00,CFL0156,PC-8841,Logoff
2011-05-01 16:07:00,DJS1127,PC-6321,Logoff
2011-05-01 16:08:00,MBH0527,PC-9620,Logoff
2011-05-01 16:09:43,ONR3291,PC-4460,Logon
2011-05-01 16:10:00,CMD0613,PC-8839,Logoff
2011-05-01 16:10:00,UCW2995,PC-7862,Logoff
2011-05-01 16:12:00,AJS3021,PC-4517,Logoff
2011-05-01 16:12:00,IBP1616,PC-8035,Logoff
2011-05-01 16:14:00,WBH1861,PC-8987,Logoff
2011-05-01 16:15:00,RPB0029,PC-1502,Logoff
2011-05-01 16:18:00,HMY0235,PC-7084,Logoff
2011-05-01 16:22:00,JKG0944,PC-2688,Logoff
2011-05-01 16:22:00,RCH2447,PC-0226,Logoff
2011-05-01 16:22:00,WRF3534,PC-7714,Logoff
2011-05-01 16:23:00,JJS2973,PC-4665,Logoff
2011-05-01 16:24:00,SKE3262,PC-7089,Logoff
2011-05-01 16:30:00,MBN3610,PC-8169,Logoff
2011-05-01 16:32:08,ONR3291,PC-4460,Logoff
2011-05-01 16:35:00,ATT1191,PC-2057,Logoff
2011-05-01 16:35:00,YNW2855,PC-0624,Logoff
2011-05-01 16:45:00,RWS3699,PC-9819,Logoff
2011-05-01 16:48:00,GES2626,PC-8285,Logoff
2011-05-01 16:50:28,LXS0332,PC-9918,Logoff
2011-05-01 16:52:00,BEH0103,PC-6970,Logoff
2011-05-01 16:55:00,DRF1498,PC-9560,Logoff
2011-05-01 16:55:00,PEV3955,PC-4993,Logoff
2011-05-01 16:56:00,TJD0106,PC-6916,Logoff
2011-05-01 16:57:00,LXS0332,PC-4458,Logoff
2011-05-01 16:57:00,NHK2846,PC-7578,Logoff
2011-05-01 16:58:00,HMM2628,PC-4056,Logoff
2011-05-01 16:58:00,THF2879,PC-2467,Logoff
2011-05-01 16:59:00,ISJ1479,PC-0043,Logoff
2011-05-01 17:04:00,MCK0435,PC-0678,Logoff
2011-05-01 17:05:14,CPC0724,PC-0492,Logon
2011-05-01 17:08:00,NNM2862,PC-2840,Logoff
2011-05-01 17:09:00,ENS1748,PC-5920,Logoff
2011-05-01 17:10:00,OCH2853,PC-2512,Logoff
2011-05-01 17:10:00,RHO0678,PC-9728,Logoff
2011-05-01 17:11:00,LWB2851,PC-5558,Logoff
2011-05-01 17:11:00,MPH0153,PC-8227,Logoff
2011-05-01 17:14:00,CDC3413,PC-1539,Logoff
2011-05-01 17:16:00,BKF1545,PC-9378,Logoff
2011-05-01 17:17:00,TKM1539,PC-3295,Logoff
2011-05-01 17:21:00,RTS2009,PC-7059,Logoff
2011-05-01 17:24:00,CJH2330,PC-1768,Logoff
2011-05-01 17:25:00,JJH1389,PC-3684,Logoff
2011-05-01 17:27:00,NRK3448,PC-5787,Logoff
2011-05-01 17:27:00,WRW2331,PC-9106,Logoff
2011-05-01 17:28:00,CRC0348,PC-9798,Logoff
2011-05-01 17:29:00,ABD3426,PC-8657,Logoff
2011-05-01 17:29:00,WBB2321,PC-3292,Logoff
2011-05-01 17:30:00,NBT3447,PC-0882,Logoff
2011-05-01 17:30:00,PJC1252,PC-7983,Logoff
2011-05-01 17:34:00,LAF2213,PC-3090,Logoff
2011-05-01 17:38:00,KPS3882,PC-9504,Logoff
2011-05-01 17:41:00,SKS0339,PC-3290,Logoff
2011-05-01 17:42:00,AMA2808,PC-3872,Logoff
2011-05-01 17:43:00,TAM3048,PC-9889,Logoff
2011-05-01 17:44:00,CBA1023,PC-1570,Logoff
2011-05-01 17:44:11,ZDC2523,PC-2312,Logon
2011-05-01 17:45:00,CJM0273,PC-3471,Logoff
2011-05-01 17:45:22,CPC0724,PC-0492,Logoff
2011-05-01 17:47:00,HDB1666,PC-6793,Logoff
2011-05-01 17:50:00,AYD2775,PC-3839,Logoff
2011-05-01 17:51:00,LSN1672,PC-9021,Logoff
2011-05-01 17:54:00,ARW0818,PC-0676,Logoff
2011-05-01 17:55:00,RAA1455,PC-7117,Logoff
2011-05-01 17:56:00,ROR3483,PC-4365,Logoff
2011-05-01 17:56:00,YKW3832,PC-2158,Logoff
2011-05-01 17:57:00,SDH2394,PC-5849,Logoff
2011-05-01 17:57:00,SOB0089,PC-6172,Logoff
2011-05-01 17:59:00,CMM0764,PC-9724,Logoff
2011-05-01 17:59:00,JLC0216,PC-3253,Logoff
2011-05-01 18:00:00,IKC1205,PC-8568,Logoff
2011-05-01 18:00:19,JIR2594,PC-9352,Logon
2011-05-01 18:01:00,TGH3351,PC-0681,Logoff
2011-05-01 18:02:00,LDB3304,PC-4961,Logoff
2011-05-01 18:03:00,JAY3851,PC-8807,Logoff
2011-05-01 18:06:00,BDR0510,PC-1197,Logoff
2011-05-01 18:07:00,MMS0241,PC-2800,Logoff
2011-05-01 18:08:00,JDM1042,PC-1105,Logoff
2011-05-01 18:09:00,YCL0824,PC-6421,Logoff
2011-05-01 18:11:00,ACH1910,PC-0328,Logoff
2011-05-01 18:11:00,NBR3731,PC-7532,Logoff
2011-05-01 18:15:00,IPK2575,PC-0615,Logoff
2011-05-01 18:15:29,JIR2594,PC-9352,Logoff
2011-05-01 18:19:00,AKH0454,PC-2966,Logoff
2011-05-01 18:20:00,APB3823,PC-4062,Logoff
2011-05-01 18:21:00,MMR1695,PC-8796,Logoff
2011-05-01 18:24:00,SRS0129,PC-7008,Logoff
2011-05-01 18:26:00,BMC3636,PC-5581,Logoff
2011-05-01 18:26:00,BWJ0136,PC-4366,Logoff
2011-05-01 18:26:00,ZAR0404,PC-7841,Logoff
2011-05-01 18:28:00,DAE1437,PC-7342,Logoff
2011-05-01 18:29:00,HHF1995,PC-4472,Logoff
2011-05-01 18:29:00,SAR2066,PC-0983,Logoff
2011-05-01 18:29:00,TDK1689,PC-7593,Logoff
2011-05-01 18:32:00,GJS0160,PC-4170,Logoff
2011-05-01 18:33:00,BCM3794,PC-7608,Logoff
2011-05-01 18:33:00,OKH3777,PC-5467,Logoff
2011-05-01 18:34:29,MPH0153,PC-8227,Logon
2011-05-01 18:37:00,RVV0317,PC-1918,Logoff
2011-05-01 18:39:00,RCT1697,PC-5770,Logoff
2011-05-01 18:40:00,BOR2387,PC-2983,Logoff
2011-05-01 18:41:00,ABM3641,PC-7385,Logoff
2011-05-01 18:41:00,MTS0465,PC-6836,Logoff
2011-05-01 18:42:00,CXM1821,PC-8083,Logoff
2011-05-01 18:43:00,DFC2060,PC-2360,Logoff
2011-05-01 18:44:00,BLN0230,PC-0151,Logoff
2011-05-01 18:45:00,JIR2594,PC-1709,Logoff
2011-05-01 18:47:00,JSH3019,PC-3455,Logoff
2011-05-01 18:49:00,CPC0724,PC-8032,Logoff
2011-05-01 18:51:00,ADP3667,PC-3802,Logoff
2011-05-01 18:58:00,CGG3388,PC-5178,Logoff
2011-05-01 19:01:00,NSR2539,PC-3893,Logoff
2011-05-01 19:03:00,FHA3387,PC-7770,Logoff
2011-05-01 19:09:00,HMB0805,PC-0242,Logoff
2011-05-01 19:12:00,VCF3273,PC-5191,Logoff
2011-05-01 19:12:00,VEB3671,PC-1038,Logoff
2011-05-01 19:16:00,ONR3291,PC-9573,Logoff
2011-05-01 19:23:00,AEM0554,PC-0514,Logoff
2011-05-01 19:27:00,IMC3296,PC-2659,Logoff
2011-05-01 19:30:00,JEM0546,PC-0308,Logoff
2011-05-01 19:30:00,XBW2502,PC-7681,Logoff
2011-05-01 19:31:00,CHM1561,PC-7046,Logoff
2011-05-01 19:34:00,KMR0682,PC-1419,Logoff
2011-05-01 19:45:00,KNM1154,PC-4927,Logoff
2011-05-01 19:48:00,GDM3960,PC-7415,Logoff
2011-05-01 19:51:00,LCC1963,PC-1027,Logoff
2011-05-01 19:52:00,REC0283,PC-6764,Logoff
2011-05-01 19:57:00,EDJ1970,PC-1301,Logoff
2011-05-01 19:59:00,MWG1570,PC-0031,Logoff
2011-05-01 19:59:51,JKC2754,PC-3138,Logoff
2011-05-01 20:00:00,KBG1117,PC-6532,Logoff
2011-05-01 20:11:00,KPB1123,PC-2997,Logoff
2011-05-01 20:30:45,ZDC2523,PC-2312,Logoff
2011-05-01 20:43:00,UMB0055,PC-1021,Logoff
2011-05-01 23:53:47,ZRM0694,PC-6816,Logon
2011-05-02 00:00:11,LCS3042,PC-3926,Logon
2011-05-02 00:00:41,KEF1057,PC-6623,Logon
