id,date,user,pc,activity
{S1A4-H9SV57II-1082GNRC},2011-05-01 07:19:00,TDK1689,PC-7593,Logon
{E8J8-E4YK35NI-9809VRAB},2011-05-01 07:24:00,HLO2756,PC-9822,Logon
{P2G9-B1QJ07BI-0873TDHO},2011-05-01 07:30:00,DRB0202,PC-0568,Logon
{D0R3-Q3VX87TF-7317LNLA},2011-05-01 07:30:00,DRF1498,PC-9560,Logon
{L3Y0-X9GW35GP-8553KAWW},2011-05-01 07:30:00,JKG0944,PC-2688,Logon
{I2B5-W6MD56VA-9465ORLX},2011-05-01 07:30:00,TJS3067,PC-5461,Logon
{H6S7-E3WS92LT-1063KZXK},2011-05-01 07:30:00,TWM2199,PC-9826,Logon
{O0R4-I0DX64WI-0082ZNQG},2011-05-01 07:31:00,ARK3198,PC-9151,Logon
{Q8G7-Y3JP09BH-1202ZHJI},2011-05-01 07:31:00,JKC2754,PC-3138,Logon
{F3E4-S2UX07ZC-8201IVCL},2011-05-01 07:31:00,JSH3019,PC-3455,Logon
{E0E5-M6EC40VV-5109MTYJ},2011-05-01 07:33:00,RCH2447,PC-0226,Logon
{D2Y1-M0UL06LP-1547BYSB},2011-05-01 07:35:00,JOC3621,PC-0329,Logon
{J1Z0-M8BY83KY-7047IBJT},2011-05-01 07:36:00,KMR0682,PC-1419,Logon
{A0P1-Q9DN32BG-4213MDWG},2011-05-01 07:36:00,LXS0332,PC-4458,Logon
{Z4Y5-Y8NN28JK-2813YFXC},2011-05-01 07:37:00,BMC3636,PC-5581,Logon
{T5C3-J0OM28MS-0745NYVY},2011-05-01 07:37:00,LAF2213,PC-3090,Logon
{D3A1-M6NH09QX-2022AZDD},2011-05-01 07:38:00,PJC1252,PC-7983,Logon
{C0B4-H3RG58LT-4634FURI},2011-05-01 07:38:00,SRR2711,PC-6931,Logon
{S0A7-X6BI40EB-2797KFRJ},2011-05-01 07:40:00,CJM0273,PC-3471,Logon
{G6P0-I8YA42BB-9894FIMZ},2011-05-01 07:40:00,ISJ1479,PC-0043,Logon
{K1O5-J4KX37NS-0161TPUY},2011-05-01 07:40:00,RTS2009,PC-7059,Logon
{M1F2-V4AL94HO-2298NGNA},2011-05-01 07:42:00,KJS1940,PC-3182,Logon
{R7Y5-D5OF19TP-7519PYVC},2011-05-01 07:43:00,ARW0818,PC-0676,Logon
{J2A4-U6FK32OR-1125YEHT},2011-05-01 07:43:00,GDM3960,PC-7415,Logon
{M4J9-F6MG10IW-2100ZCQL},2011-05-01 07:43:00,QBL1386,PC-2737,Logon
{G9N9-L7KP40GH-3062LYWS},2011-05-01 07:44:00,WBH1861,PC-8987,Logon
{B8O3-E2NK16AL-4414ANZT},2011-05-01 07:45:00,CAR2244,PC-0194,Logon
{X1I8-Y6VD42MJ-7502LFCX},2011-05-01 07:46:00,AYD2775,PC-3839,Logon
{R2O2-M7DN96JD-9640BBOY},2011-05-01 07:46:00,LDB3304,PC-4961,Logon
{E3H5-R1OX86ZR-0358GWPF},2011-05-01 07:46:00,RVV0317,PC-1918,Logon
{R3I0-O5WL72DW-4121HJUO},2011-05-01 07:46:00,VEB3671,PC-1038,Logon
{N0R2-G7MW62VT-6810EOJW},2011-05-01 07:47:00,AMA2808,PC-3872,Logon
{G6X0-W3LE88HS-2367VJAW},2011-05-01 07:47:00,KCR2291,PC-1603,Logon
{X8L8-J1VT74WF-7376UACM},2011-05-01 07:47:00,MCK0435,PC-0678,Logon
{Y6D4-F8GM46CU-9861YESL},2011-05-01 07:47:00,NSR2539,PC-3893,Logon
{P8V2-F0OO80YZ-7476QHWN},2011-05-01 07:48:00,ENS1748,PC-5920,Logon
{B4R5-B7LM78JA-1548HAJG},2011-05-01 07:48:00,LLT0291,PC-1250,Logon
{V6Q6-P5BM39CY-1906ADUW},2011-05-01 07:48:00,TGH3351,PC-0681,Logon
{T2Y4-L7IL43HV-9868JATA},2011-05-01 07:49:00,GJS0160,PC-4170,Logon
{Y2J6-A0MS83ZR-3900NMWI},2011-05-01 07:50:00,BDR0510,PC-1197,Logon
{I4P4-B4LG03OW-3053LPQY},2011-05-01 07:51:00,KPS3882,PC-9504,Logon
{T2Z9-D7RT93FQ-1711FLMV},2011-05-01 07:52:00,KPB1123,PC-2997,Logon
{F8E8-R9AU13OS-1507DBML},2011-05-01 07:52:00,MMR1695,PC-8796,Logon
{T6K2-W3JC69JS-7114QIJK},2011-05-01 07:52:00,UCW2995,PC-7862,Logon
{J3N3-I1RY34JP-0428BBTY},2011-05-01 07:56:00,JET2299,PC-8010,Logon
{G8K9-F6ME75HX-2730YERF},2011-05-01 07:56:00,NHK2846,PC-7578,Logon
{K6T1-J7SF37TW-9153GYRG},2011-05-01 07:57:00,CFL0156,PC-8841,Logon
{A4O0-M1AL85UA-8751KOGW},2011-05-01 07:57:00,MWG1570,PC-0031,Logon
{L1Z8-E6SB24UX-6401ASVW},2011-05-01 07:57:00,OCH2853,PC-2512,Logon
{B7F1-Q9ZX85BY-5555LMDS},2011-05-01 07:58:00,RHO0678,PC-9728,Logon
{U5T5-Y6IE37TS-1911HPBP},2011-05-01 07:58:00,ZDC2523,PC-2312,Logon
{V0Y8-V4LD13YH-8767EZZB},2011-05-01 07:59:00,HHF1995,PC-4472,Logon
{D7W0-Q5BH11NH-5372VQCR},2011-05-01 07:59:00,MLW2240,PC-1960,Logon
{R7W3-I2WR62SP-3643IQHN},2011-05-01 07:59:00,NNM2862,PC-2840,Logon
{Z8E0-H3TI33DW-4023VNEQ},2011-05-01 08:00:00,AJS3021,PC-4517,Logon
{P8J7-Z3ZF21AH-5104GCSP},2011-05-01 08:00:00,BKF1545,PC-9378,Logon
{I0P0-J3HR36NO-4216WPLY},2011-05-01 08:00:00,CHC0252,PC-8009,Logon
{P3W0-J4GQ46GB-5026MQVU},2011-05-01 08:00:00,KBG1117,PC-6532,Logon
{X9O1-M6SN67FC-7935EEWL},2011-05-01 08:00:00,KSO2224,PC-6807,Logon
{L0C3-I7EL19XD-9478SJMK},2011-05-01 08:01:00,AKH0454,PC-2966,Logon
{K5W3-P2PW46OT-0214OLVC},2011-05-01 08:01:00,CRC0348,PC-9798,Logon
{J1O3-Y1QX75MY-4510XKMB},2011-05-01 08:01:00,LWB2851,PC-5558,Logon
{K3E5-R6HN48OB-5553WMGR},2011-05-01 08:03:00,GES2626,PC-8285,Logon
{K8N2-U9NA13IL-6092SVSK},2011-05-01 08:03:00,IRS1337,PC-1290,Logon
{H3T0-T3QC49JZ-6604BFQD},2011-05-01 08:03:00,MPH0153,PC-8227,Logon
{F8G3-K1UV61IV-3729HVMJ},2011-05-01 08:04:00,IKC1205,PC-8568,Logon
{E9L7-I7OB68EU-9003CHRK},2011-05-01 08:04:00,MBN3610,PC-8169,Logon
{A4J3-R5CG59SG-2357KASE},2011-05-01 08:04:00,SOB0089,PC-6172,Logon
{T4M2-J3JN13MH-9319NIMV},2011-05-01 08:04:00,TKM1539,PC-3295,Logon
{E3J9-X4VW55ED-5543DQXO},2011-05-01 08:04:00,YCL0824,PC-6421,Logon
{K8J1-K4GI15BO-0043JELN},2011-05-01 08:05:00,HMM2628,PC-4056,Logon
{X6W7-F0BX31DL-9598OQBV},2011-05-01 08:06:00,CCT2165,PC-2738,Logon
{Y5Y1-T0TT62CM-2967NXLA},2011-05-01 08:06:00,JJS2973,PC-4665,Logon
{T2O9-U7GS95FD-4908KFRP},2011-05-01 08:06:00,PEV3955,PC-4993,Logon
{C1C8-L7RN34XB-0396YNIH},2011-05-01 08:06:00,YKW3832,PC-2158,Logon
{V8Q8-F6VX86XW-3006STCV},2011-05-01 08:07:00,MBH0527,PC-9620,Logon
{E3D0-X8ZE17ED-2927MRBK},2011-05-01 08:08:00,AKB2312,PC-0937,Logon
{E8J6-Y0IJ32FO-7598DLCP},2011-05-01 08:08:00,IBP1616,PC-8035,Logon
{I0K7-E0MS50BF-1793YWYJ},2011-05-01 08:09:00,ABD3426,PC-8657,Logon
{X9N5-O4WV41RY-7902KQAQ},2011-05-01 08:09:00,ISB0256,PC-3808,Logon
{K1S7-N7KN10ZK-0844ABQT},2011-05-01 08:10:00,CMD0613,PC-8839,Logon
{E6G1-D1GF37SW-1259WPMD},2011-05-01 08:10:00,SKE3262,PC-7089,Logon
{U7T1-C2NJ17KN-3713CIGD},2011-05-01 08:11:00,ONR3291,PC-9573,Logon
{I3J7-I6PT64UX-8601ERAY},2011-05-01 08:13:00,TKS3035,PC-3025,Logon
{P7N7-A7QD46HM-8161JHNS},2011-05-01 08:14:00,CHM1561,PC-7046,Logon
{M2D3-P0NO21PM-3874QHMK},2011-05-01 08:15:00,ADP3667,PC-3802,Logon
{M9F0-I6DK00XM-4667XNZR},2011-05-01 08:15:00,APB3823,PC-4062,Logon
{V6E6-F1IL00NF-4731JQPV},2011-05-01 08:15:00,IMC3296,PC-2659,Logon
{U9Y7-M7OY38KF-3028VZBT},2011-05-01 08:15:00,KAS2029,PC-6729,Logon
{L1O5-O0RF96WY-6242YISZ},2011-05-01 08:15:00,RPB0029,PC-1502,Logon
{Q0H0-M9KS84PF-4332YYWF},2011-05-01 08:16:00,CDC3413,PC-1539,Logon
{Y8F7-Z0CP00TV-5092SBSM},2011-05-01 08:16:00,IPK2575,PC-0615,Logon
{G4J0-X2RU91UP-7419MQOK},2011-05-01 08:16:00,JAY3851,PC-8807,Logon
{M7X8-Q1JT99PX-1085DQOX},2011-05-01 08:16:00,OKH3777,PC-5467,Logon
{S9N1-G8OR84IN-1302CWUH},2011-05-01 08:17:00,CXM1821,PC-8083,Logon
{X1Y3-E8LL62KK-0071TCKC},2011-05-01 08:17:00,DJS1127,PC-6321,Logon
{K7X4-T9CF23NT-9498JWNV},2011-05-01 08:18:00,BCM3794,PC-7608,Logon
{H7E8-G9BT44MW-9502ECVF},2011-05-01 08:19:00,MTS0465,PC-6836,Logon
{P6D1-O5NI94XQ-2744TJTI},2011-05-01 08:19:00,VCF3273,PC-5191,Logon
{I3A2-Q1DB66GI-9601RYKL},2011-05-01 08:20:00,JDM1042,PC-1105,Logon
{T7E2-V6NA98QM-9642LVRG},2011-05-01 08:21:00,YNW2855,PC-0624,Logon
{C3R0-T4XU23IM-2819AFKI},2011-05-01 08:22:00,NRK3448,PC-5787,Logon
{H1U1-Z4VQ58CT-7334KGSY},2011-05-01 08:23:00,SER0621,PC-5436,Logon
{B2M9-H5IN08PD-9739DAFV},2011-05-01 08:25:00,AEM0554,PC-0514,Logon
{Q0S3-M6EE98SR-4788DFCA},2011-05-01 08:26:00,TAM3048,PC-9889,Logon
{D0A6-B2YL33MK-3911TEDG},2011-05-01 08:26:00,XBW2502,PC-7681,Logon
{Q7W9-H9UZ06BI-2976KZBU},2011-05-01 08:28:00,ATT1191,PC-2057,Logon
{R3Y8-G9WH94RI-3188KFMB},2011-05-01 08:29:00,JEM0546,PC-0308,Logon
{M4D3-Y5AG95UL-9303LLXH},2011-05-01 08:31:00,DFC2060,PC-2360,Logon
{E2B8-D8RL94NB-3762NMWV},2011-05-01 08:31:00,KNM1154,PC-4927,Logon
{Z8F7-Q0AP84QN-3978POBB},2011-05-01 08:31:00,NBT3447,PC-0882,Logon
{G8I1-P2JE29BZ-4902VELK},2011-05-01 08:32:00,BEH0103,PC-6970,Logon
{N2O7-W9GD24DR-2866KCFR},2011-05-01 08:32:00,ZAR0404,PC-7841,Logon
{D0G2-P8QX29XW-8781YWGP},2011-05-01 08:33:00,DAE1437,PC-7342,Logon
{M6Y4-X1ZZ29HV-4218FRIV},2011-05-01 08:33:00,SAR2066,PC-0983,Logon
{J5S2-X6AR15MB-6493EKEP},2011-05-01 08:34:00,LCC1963,PC-1027,Logon
{F1U3-F6AF70VJ-5188BUMF},2011-05-01 08:35:00,MAW0532,PC-4652,Logon
{L9J4-J6IG94AG-2294MSWA},2011-05-01 08:35:00,RWS3699,PC-9819,Logon
{S0P7-R8CQ98WG-3871QLGK},2011-05-01 08:36:00,EDJ1970,PC-1301,Logon
{X0U1-O6LA80XC-6070VKGO},2011-05-01 08:37:00,GKL0006,PC-3525,Logon
{U0O3-V7AG05YY-1823CBRR},2011-05-01 08:38:00,SKS0339,PC-3290,Logon
{W6P2-L5MY27VI-5797UPIA},2011-05-01 08:39:00,TJD0106,PC-6916,Logon
{N5A5-G0LA29JZ-3856KVJN},2011-05-01 08:41:00,REC0283,PC-6764,Logon
{S9J9-W7WQ75CK-4266JYLU},2011-05-01 08:41:37,WRW2331,PC-2741,Logon
{O2Q3-P2EP49ZZ-9297LHRA},2011-05-01 08:42:00,EJP2975,PC-9179,Logon
{L1C8-A3LX44SC-8261YBZU},2011-05-01 08:42:17,IMC3296,PC-0627,Logon
{D3Y0-C5YN31XR-7107MELR},2011-05-01 08:43:00,HMR0098,PC-3930,Logon
{H1X1-E2LN38WJ-0106WRGZ},2011-05-01 08:45:00,BLN0230,PC-0151,Logon
{F1H0-G1BP41LO-7135MQTK},2011-05-01 08:46:00,JIR2594,PC-1709,Logon
{E6K7-S5LR40PI-8581DHDY},2011-05-01 08:47:00,HMB0805,PC-0242,Logon
{D9K4-H8RW44PA-4495FATK},2011-05-01 08:52:00,CPC0724,PC-8032,Logon
{T5X8-F5EA49HP-5109BGDG},2011-05-01 08:53:00,DCM3596,PC-0355,Logon
{T8W3-U5WW94MU-7419FDYF},2011-05-01 08:54:00,CGG3388,PC-5178,Logon
{I3M3-Z0DL47IX-4951UJZU},2011-05-01 08:55:00,FHA3387,PC-7770,Logon
{E1W4-C8SB31KP-7253DNFR},2011-05-01 09:01:00,CMM0764,PC-9724,Logon
{C0I5-F0QR77CD-7993SJID},2011-05-01 09:02:00,MMS0241,PC-2800,Logon
{B5B1-M6AE75ID-7238EYFZ},2011-05-01 09:02:27,WRW2331,PC-2741,Logoff
{Q9O4-K1SO88HE-4079CTGN},2011-05-01 09:03:00,BWJ0136,PC-4366,Logon
{R2Z7-T1FL31LQ-9903YWNA},2011-05-01 09:03:00,THF2879,PC-2467,Logon
{K8O5-N6EG15OX-4700ZGMB},2011-05-01 09:04:26,IMC3296,PC-0627,Logoff
{A8P7-G7NS63NH-0677KZIE},2011-05-01 09:06:00,RAA1455,PC-7117,Logon
{M0B9-I0AL08PD-0983XTEA},2011-05-01 09:15:00,SRS0129,PC-7008,Logon
{L2K3-O0LN55BC-0516OQFR},2011-05-01 09:19:00,ACH1910,PC-0328,Logon
{K5Q2-Y1BN71DR-3306UUTT},2011-05-01 09:20:00,BOR2387,PC-2983,Logon
{Q9K9-B6HK82ZG-6425AFAH},2011-05-01 09:36:00,UMB0055,PC-1021,Logon
{A3Y4-P0XN82VY-9266SYQE},2011-05-01 09:55:31,JKC2754,PC-0396,Logon
{J2J7-U4GN66LF-5450SWFY},2011-05-01 10:07:40,CHC0252,PC-8009,Logon
{R6T3-F2MK85EV-4084QGIP},2011-05-01 10:19:16,CGW0692,PC-6774,Logon
{Q7Y0-Y0QX21NV-8235LYHD},2011-05-01 10:24:25,PEV3955,PC-4993,Logon
{U8L3-Q0AG65NP-5568UTGG},2011-05-01 10:27:58,KPS3882,PC-9504,Logon
{R3E4-C0ZL71QP-1073BZIP},2011-05-01 10:29:33,MTS0465,PC-4715,Logon
{Z9X2-M0EH13GC-5246LLOB},2011-05-01 10:31:23,JKC2754,PC-0396,Logoff
{W5P3-S5EG93FV-7910BBAH},2011-05-01 10:34:22,MTS0465,PC-4715,Logoff
{O7Z0-Y3AH21LI-4404QESY},2011-05-01 10:36:21,TAM3048,PC-2043,Logon
{W5D9-L9DP60CW-9554MKJW},2011-05-01 10:41:48,MMR1695,PC-8796,Logon
{L7J7-I7JN10GF-4405HMKF},2011-05-01 10:52:42,MTS0465,PC-0643,Logon
{W8N9-L6YE28EV-2503MHGS},2011-05-01 10:53:55,TAM3048,PC-2043,Logoff
{H2U1-V2DJ25CS-9722TBKS},2011-05-01 11:01:14,MTS0465,PC-0643,Logoff
{T4I8-F9EG56ZN-4905HHFW},2011-05-01 11:02:45,HHF1995,PC-4472,Logon
{H2Q8-E3VV98QG-4023MZLQ},2011-05-01 11:05:06,LAF2213,PC-3090,Logon
{R3R4-Q4IV07IY-6404YLVW},2011-05-01 11:14:48,HDB1666,PC-6793,Logon
{E3Q3-C9KW61JX-4713SASZ},2011-05-01 11:21:41,DAR0709,PC-4052,Logon
{X9Q0-F9QZ17UR-3408PTZD},2011-05-01 11:27:54,TJD0106,PC-6916,Logon
{P8V2-Q6WE97KU-0654ADBQ},2011-05-01 11:29:11,RCH2447,PC-0226,Logon
{O1L0-V7YI97EQ-1626OLBW},2011-05-01 11:29:37,DCM3596,PC-0355,Logon
{P2Y6-H9YC28CQ-8315IIEW},2011-05-01 11:30:24,GDM3960,PC-7415,Logon
{J4G2-P6RN61HY-7613LGHR},2011-05-01 11:31:20,JAY3851,PC-8807,Logon
{B7S3-P7WQ91NP-7114BGHU},2011-05-01 11:38:52,KJS1940,PC-3182,Logon
{Z1C0-X8QN41YW-5713REBF},2011-05-01 11:43:35,MBH0527,PC-9620,Logon
{F2B0-L9OV37UJ-1602LNHB},2011-05-01 11:50:23,JSH3019,PC-3455,Logon
{A6H0-J4LC36RC-5889UQQK},2011-05-01 11:52:06,JDM1042,PC-1105,Logon
{M0I5-R7ME12XA-0992ULYL},2011-05-01 11:54:22,ISB0256,PC-3808,Logon
{T3T0-A7QS05VB-9427EUPL},2011-05-01 11:54:22,NRK3448,PC-5787,Logon
{P2W4-M5HI81UZ-6490XIAK},2011-05-01 11:54:53,AMA2808,PC-3872,Logon
{V9P3-H4LD54GK-1109IFXQ},2011-05-01 11:55:39,IRS1337,PC-1290,Logon
{K3E8-O6TZ25FJ-3586BOYA},2011-05-01 11:57:27,WBH1861,PC-8987,Logon
{F5H3-I5CV99UD-4550RCRI},2011-05-01 11:58:13,AJS3021,PC-4517,Logon
{T4A8-K0ZU30ER-6905UILS},2011-05-01 12:00:56,AFP2709,PC-3154,Logon
{M0F6-K9KE38WX-1546BXMN},2011-05-01 12:02:58,LCC1963,PC-1027,Logon
{R4V7-I2YP22XH-0947HXEZ},2011-05-01 12:04:37,TAM3048,PC-4561,Logon
{U8R6-D1RV33MR-8404PNJH},2011-05-01 12:07:00,DAE1437,PC-7342,Logon
{U5I8-X9LQ16ZV-2543QGDA},2011-05-01 12:09:44,MJA2380,PC-2940,Logon
{J8H7-I8OQ84BD-3179RFRR},2011-05-01 12:11:45,SAR2066,PC-0983,Logon
{G3G2-U4SS43JY-5993RVOI},2011-05-01 12:13:15,MAW0532,PC-4652,Logon
{H0B9-L7TM65MN-7728TOON},2011-05-01 12:15:20,RCT1697,PC-5770,Logon
{O1K9-S4CD09ND-0281WZKD},2011-05-01 12:15:55,MWG1570,PC-0031,Logon
{R3T8-A6SL45ZD-6762ROBQ},2011-05-01 12:18:46,TAM3048,PC-4561,Logoff
{L3E1-M6SY13PT-4589BZCC},2011-05-01 12:21:23,TKM1539,PC-3295,Logon
{R1Y8-F0QZ61GZ-1243SJEO},2011-05-01 12:25:04,JOC3621,PC-0329,Logon
{A4I1-C3ZU10EN-8246DQTN},2011-05-01 12:28:51,GKL0006,PC-3525,Logon
{J6I3-A3PZ82JG-1270XMIZ},2011-05-01 12:33:32,LXS0332,PC-4458,Logon
{M3M9-H1LM80SD-8064URTI},2011-05-01 12:33:47,JLC0216,PC-3253,Logon
{F4S6-X0WV16FI-8146PFFD},2011-05-01 12:35:36,WBB2321,PC-3292,Logon
{D0V8-Q2WQ86SI-6178EJBR},2011-05-01 12:37:49,HMY0235,PC-7084,Logon
{K0G3-O2BG04GO-4181JIEU},2011-05-01 12:39:02,NBT3447,PC-0882,Logon
{Q7R9-D1LO48MG-1288SROC},2011-05-01 12:40:54,ABM3641,PC-5717,Logon
{H0L4-V7MX25LU-1297HEGI},2011-05-01 12:41:55,AEM0554,PC-0514,Logon
{I3G4-M9BY12PZ-6164RAMI},2011-05-01 12:42:11,UCW2995,PC-7862,Logon
{I9A1-Y4WN01MQ-7703VEPR},2011-05-01 12:43:39,ARK3198,PC-9151,Logon
{D4V4-Q0SJ98QM-3323VZYV},2011-05-01 12:44:25,CPC0724,PC-8032,Logon
{R7D5-I7ZD56EF-8321ZOFT},2011-05-01 12:44:34,TDK1689,PC-7593,Logon
{I3H7-Z7GI19RI-1845PFMO},2011-05-01 12:44:36,ZRM0694,PC-6816,Logon
{W5X5-N1VH05YV-6533PIBJ},2011-05-01 12:47:54,TJS3067,PC-5461,Logon
{X1A3-U1ZI99CE-6119LLEW},2011-05-01 12:48:54,BEH0103,PC-6970,Logon
{M0A1-W5MP88WO-7237DMTM},2011-05-01 12:50:37,MLW2240,PC-1960,Logon
{E2K5-R9YZ15ET-5331YGKP},2011-05-01 12:51:10,ISJ1479,PC-0043,Logon
{D9U1-T4CS95DI-1480DKYZ},2011-05-01 12:51:20,SRR2711,PC-6931,Logon
{B6J8-U1JM59UD-3647KQMQ},2011-05-01 12:51:47,SRS0129,PC-7008,Logon
{W1Z0-A6RE66AW-0325HIDI},2011-05-01 12:54:07,OCH2853,PC-2512,Logon
{T0P3-U0WQ70GR-2822YLBJ},2011-05-01 12:55:04,ABD3426,PC-8657,Logon
{O6W2-J2WR88WG-8098UMLR},2011-05-01 12:55:44,ABM3641,PC-5717,Logoff
{W3B2-C8FO38OV-2452ELMJ},2011-05-01 13:04:36,YCL0824,PC-6421,Logon
{D4O7-L4CR99BZ-4813MDAD},2011-05-01 13:05:26,IKC1205,PC-8568,Logon
{R5O0-J0VM67SX-1722SYRU},2011-05-01 13:07:18,ACH1910,PC-0328,Logon
{D5C2-J3RE58RT-9313NYMW},2011-05-01 13:07:37,QBL1386,PC-2737,Logon
{H6Q9-Y8LP86SF-3919FASQ},2011-05-01 13:08:26,JEM0546,PC-0308,Logon
{G9X0-N0ZZ56CO-9261RHDS},2011-05-01 13:10:16,TKS3035,PC-3025,Logon
{K0K2-G3HO91VQ-8215DBAP},2011-05-01 13:13:28,DRB0202,PC-0568,Logon
{P7W6-P2FB98MK-7519RTUV},2011-05-01 13:17:49,GJS0160,PC-4170,Logon
{K3R8-K8YA28MU-4246TYYU},2011-05-01 13:19:23,BMC3636,PC-5581,Logon
{G3K6-B2HX48XX-8094ODTV},2011-05-01 13:25:15,TGH3351,PC-0681,Logon
{S6P9-F4ZW80MD-4006XHYO},2011-05-01 13:27:34,BDR0510,PC-1197,Logon
{H5C7-Y8TX56SP-7702SIEV},2011-05-01 13:27:39,KSO2224,PC-6807,Logon
{V5G6-Y4AV91NY-8501FAJN},2011-05-01 13:31:18,RVV0317,PC-1918,Logon
{S0R9-I7AX43LN-8109TQJK},2011-05-01 13:36:48,MBN3610,PC-8169,Logon
{F5I2-Y3GQ15KZ-1048MYJR},2011-05-01 13:38:00,OKH3777,PC-5467,Logon
{B3B7-C0PZ55UR-0513GZZE},2011-05-01 13:38:35,MBH0527,PC-1394,Logon
{W2M9-B2NR83GO-4105CLXZ},2011-05-01 13:39:52,JET2299,PC-8010,Logon
{M9R8-T2MA40MV-5270YLYG},2011-05-01 13:39:53,IBP1616,PC-8035,Logon
{M8C9-Q0RN80UU-3800JEJZ},2011-05-01 13:40:57,RTS2009,PC-4172,Logon
{A2J5-O0ZL23FD-1017PHHL},2011-05-01 13:42:39,REC0283,PC-6764,Logon
{Z6O8-E3NX38MZ-1504IAUF},2011-05-01 13:44:54,DJS1127,PC-6321,Logon
{K7G3-G8PX35TB-5328UTMN},2011-05-01 13:45:05,HMB0805,PC-0242,Logon
{N9I9-Z7IQ79AC-8701PYPU},2011-05-01 13:47:53,GES2626,PC-8285,Logon
{F0L7-Y4CP16MY-7037MJZD},2011-05-01 13:48:21,MBH0527,PC-1394,Logoff
{S2T8-X0AR46UX-3269GHNB},2011-05-01 13:49:58,KNM1154,PC-4927,Logon
{W6P1-M2IL18PN-2688XSXX},2011-05-01 13:50:41,CMM0764,PC-9724,Logon
{D4D0-A5FC89GM-1209LAVE},2011-05-01 13:53:03,CCT2165,PC-2738,Logon
{O1X4-K8FI48MT-3705SCJI},2011-05-01 13:53:52,NNM2862,PC-2840,Logon
{D7A6-U1PY11PO-1503WAJP},2011-05-01 13:55:39,EJP2975,PC-9179,Logon
{D2K3-L7OQ87BP-5017EQWF},2011-05-01 13:56:04,YNW2855,PC-0624,Logon
