date,user,pc,activity,to_removable_media,from_removable_media
2011-05-01 10:10:34,NBR3731,PC-7532,File Copy,True,False
2011-05-01 10:12:14,JET2299,PC-8010,File Delete,False,True
2011-05-01 10:13:06,YNW2855,PC-0624,File Delete,False,True
2011-05-01 10:14:07,TKM1539,PC-3295,File Copy,True,False
2011-05-01 10:14:13,TKM1539,PC-3295,File Copy,True,False
2011-05-01 10:14:45,OKH3777,PC-5467,File Open,False,False
2011-05-01 10:14:52,YNW2855,PC-0624,File Copy,False,True
2011-05-01 10:15:20,IMC3296,PC-2659,File Write,True,False
2011-05-01 10:15:28,NBR3731,PC-7532,File Copy,False,True
2011-05-01 10:15:33,YNW2855,PC-0624,File Copy,False,True
2011-05-01 10:16:48,BDR0510,PC-1197,File Write,True,False
2011-05-01 10:17:35,TKM1539,PC-3295,File Delete,False,True
2011-05-01 10:17:48,BDR0510,PC-1197,File Delete,False,True
2011-05-01 10:17:49,NSR2539,PC-3893,File Copy,True,False
2011-05-01 10:20:13,MWG1570,PC-0031,File Copy,True,False
2011-05-01 10:20:16,IMC3296,PC-2659,File Copy,False,True
2011-05-01 10:21:32,TKM1539,PC-3295,File Copy,True,False
2011-05-01 10:22:20,NSR2539,PC-3893,File Copy,False,True
2011-05-01 10:23:36,NBR3731,PC-7532,File Delete,False,True
2011-05-01 10:23:58,TKM1539,PC-3295,File Delete,False,True
2011-05-01 10:24:38,NSR2539,PC-3893,File Copy,False,True
2011-05-01 10:25:04,NBR3731,PC-7532,File Copy,True,False
2011-05-01 10:25:07,NBR3731,PC-7532,File Copy,True,False
2011-05-01 10:26:07,NBR3731,PC-7532,File Delete,False,True
2011-05-01 10:26:15,QBL1386,PC-2737,File Open,False,True
2011-05-01 10:26:18,BDR0510,PC-1197,File Open,False,False
2011-05-01 10:26:28,QBL1386,PC-2737,File Write,True,False
2011-05-01 10:26:34,QBL1386,PC-2737,File Open,False,True
2011-05-01 10:26:37,TKM1539,PC-3295,File Copy,False,True
2011-05-01 10:26:38,TKM1539,PC-3295,File Copy,True,False
2011-05-01 10:27:14,RCT1697,PC-5770,File Delete,False,True
2011-05-01 10:27:20,QBL1386,PC-2737,File Copy,False,True
2011-05-01 10:27:35,QBL1386,PC-2737,File Open,False,True
2011-05-01 10:27:41,QBL1386,PC-2737,File Open,False,True
2011-05-01 10:27:46,VCF3273,PC-5191,File Open,False,False
2011-05-01 10:28:04,QBL1386,PC-2737,File Copy,True,False
2011-05-01 10:28:11,QBL1386,PC-2737,File Open,False,True
2011-05-01 10:28:46,QBL1386,PC-2737,File Copy,False,True
2011-05-01 10:29:13,QBL1386,PC-2737,File Open,False,False
2011-05-01 10:29:14,QBL1386,PC-2737,File Copy,False,True
2011-05-01 10:29:21,QBL1386,PC-2737,File Copy,True,False
2011-05-01 10:29:24,TKM1539,PC-3295,File Copy,False,True
2011-05-01 10:29:36,MWG1570,PC-0031,File Open,False,False
2011-05-01 10:30:04,QBL1386,PC-2737,File Delete,False,True
2011-05-01 10:30:26,LLT0291,PC-1250,File Delete,False,True
2011-05-01 10:30:31,QBL1386,PC-2737,File Delete,False,True
2011-05-01 10:30:38,NBR3731,PC-7532,File Copy,True,False
2011-05-01 10:30:47,LLT0291,PC-1250,File Copy,False,True
2011-05-01 10:30:52,QBL1386,PC-2737,File Delete,False,True
2011-05-01 10:31:08,LLT0291,PC-1250,File Open,False,False
2011-05-01 10:31:32,QBL1386,PC-2737,File Open,False,False
2011-05-01 10:31:40,QBL1386,PC-2737,File Copy,False,True
2011-05-01 10:32:21,NBR3731,PC-7532,File Copy,False,True
2011-05-01 10:32:32,TKM1539,PC-3295,File Copy,False,True
2011-05-01 10:32:37,QBL1386,PC-2737,File Write,True,False
2011-05-01 10:32:38,CJM0273,PC-3471,File Copy,True,False
2011-05-01 10:32:40,QBL1386,PC-2737,File Copy,True,False
2011-05-01 10:32:56,QBL1386,PC-2737,File Write,True,False
2011-05-01 10:33:02,MWG1570,PC-0031,File Write,True,False
2011-05-01 10:33:10,JEM0546,PC-0308,File Copy,False,True
2011-05-01 10:33:37,LLT0291,PC-1250,File Write,True,False
2011-05-01 10:33:39,LLT0291,PC-1250,File Delete,False,True
2011-05-01 10:34:19,LLT0291,PC-1250,File Copy,True,False
2011-05-01 10:34:54,TKM1539,PC-3295,File Copy,False,True
2011-05-01 10:34:59,NBR3731,PC-7532,File Delete,False,True
2011-05-01 10:35:13,QBL1386,PC-2737,File Write,True,False
2011-05-01 10:35:21,QBL1386,PC-2737,File Open,False,True
2011-05-01 10:35:31,QBL1386,PC-2737,File Copy,True,False
2011-05-01 10:35:50,QBL1386,PC-2737,File Open,False,False
2011-05-01 10:35:55,NBR3731,PC-7532,File Delete,False,True
2011-05-01 10:37:16,NBR3731,PC-7532,File Copy,True,False
2011-05-01 10:38:48,WRF3534,PC-7714,File Write,True,False
2011-05-01 10:39:37,TKM1539,PC-3295,File Delete,False,True
2011-05-01 10:39:41,NBR3731,PC-7532,File Delete,False,True
2011-05-01 10:40:59,NBR3731,PC-7532,File Delete,False,True
2011-05-01 10:41:52,NBR3731,PC-7532,File Copy,True,False
2011-05-01 10:42:24,WRF3534,PC-7714,File Open,False,True
2011-05-01 10:43:20,TKM1539,PC-3295,File Copy,True,False
2011-05-01 10:43:54,TKM1539,PC-3295,File Copy,False,True
2011-05-01 10:44:10,NBR3731,PC-7532,File Copy,True,False
2011-05-01 10:45:53,WRF3534,PC-7714,File Write,True,False
2011-05-01 10:46:23,NBR3731,PC-7532,File Write,True,False
2011-05-01 10:46:26,NBR3731,PC-7532,File Copy,True,False
2011-05-01 10:47:11,TKM1539,PC-3295,File Delete,False,True
2011-05-01 10:47:21,JDM1042,PC-1105,File Copy,False,True
2011-05-01 10:49:22,TKM1539,PC-3295,File Copy,True,False
2011-05-01 10:49:55,NBR3731,PC-7532,File Copy,False,True
2011-05-01 10:50:07,LLT0291,PC-1250,File Delete,False,True
2011-05-01 10:50:19,TKM1539,PC-3295,File Open,False,True
2011-05-01 10:50:20,TKM1539,PC-3295,File Copy,True,False
2011-05-01 10:52:29,CJM0273,PC-3471,File Open,False,False
2011-05-01 10:53:14,JDM1042,PC-1105,File Delete,False,True
2011-05-01 10:54:46,NBR3731,PC-7532,File Delete,False,True
2011-05-01 10:58:38,TKM1539,PC-3295,File Write,True,False
2011-05-01 10:59:04,AKB2312,PC-0937,File Open,False,False
2011-05-01 10:59:33,LLT0291,PC-1250,File Write,True,False
2011-05-01 10:59:35,JEM0546,PC-0308,File Copy,True,False
2011-05-01 11:00:02,NBR3731,PC-7532,File Open,False,False
2011-05-01 11:00:11,AKB2312,PC-0937,File Copy,False,True
2011-05-01 11:00:39,LLT0291,PC-1250,File Copy,True,False
2011-05-01 11:00:53,RAA1455,PC-7117,File Copy,False,True
2011-05-01 11:01:10,TKM1539,PC-3295,File Copy,False,True
2011-05-01 11:01:24,AKB2312,PC-0937,File Delete,False,True
2011-05-01 11:05:11,YNW2855,PC-0624,File Delete,False,True
2011-05-01 11:05:13,TKM1539,PC-3295,File Open,False,False
2011-05-01 11:06:48,YNW2855,PC-0624,File Copy,False,True
2011-05-01 11:08:08,YNW2855,PC-0624,File Copy,True,False
2011-05-01 11:08:16,YNW2855,PC-0624,File Open,False,True
2011-05-01 11:08:29,WRF3534,PC-7714,File Copy,True,False
2011-05-01 11:10:44,YNW2855,PC-0624,File Copy,True,False
2011-05-01 11:11:01,NBR3731,PC-7532,File Open,False,False
2011-05-01 11:11:09,YNW2855,PC-0624,File Delete,False,True
2011-05-01 11:12:20,YNW2855,PC-0624,File Delete,False,True
2011-05-01 11:13:39,YNW2855,PC-0624,File Write,True,False
2011-05-01 11:13:46,RAA1455,PC-7117,File Copy,True,False
2011-05-01 11:15:11,RAA1455,PC-7117,File Open,False,False
2011-05-01 11:17:08,LLT0291,PC-1250,File Write,True,False
2011-05-01 11:17:21,AKB2312,PC-0937,File Open,False,True
2011-05-01 11:19:00,ATT1191,PC-2057,File Open,False,False
2011-05-01 11:19:05,NBR3731,PC-7532,File Delete,False,True
2011-05-01 11:19:29,NBR3731,PC-7532,File Open,False,False
2011-05-01 11:20:13,LLT0291,PC-1250,File Write,True,False
2011-05-01 11:24:07,AKB2312,PC-0937,File Delete,False,True
2011-05-01 11:24:54,NBR3731,PC-7532,File Copy,False,True
2011-05-01 11:29:33,NBR3731,PC-7532,File Copy,False,True
2011-05-01 11:32:59,AKB2312,PC-0937,File Delete,False,True
2011-05-01 11:34:58,AKB2312,PC-0937,File Delete,False,True
2011-05-01 11:38:08,NBR3731,PC-7532,File Write,True,False
2011-05-01 11:39:42,ARK3198,PC-9151,File Open,False,False
2011-05-01 11:41:15,RAA1455,PC-7117,File Copy,False,True
2011-05-01 11:48:29,DMH0011,PC-3875,File Open,False,False
2011-05-01 11:48:29,DMH0011,PC-3875,File Open,False,False
2011-05-01 11:52:26,IMC3296,PC-2659,File Copy,False,True
2011-05-01 11:53:55,ATT1191,PC-2057,File Copy,False,True
2011-05-01 11:57:44,RAA1455,PC-7117,File Delete,False,True
2011-05-01 11:58:19,RAA1455,PC-7117,File Copy,False,True
2011-05-01 11:58:39,ATT1191,PC-2057,File Delete,False,True
2011-05-01 11:59:57,YKW3832,PC-2158,File Copy,True,False
2011-05-01 12:01:13,LWB2851,PC-5558,File Write,True,False
2011-05-01 12:07:06,SDH2394,PC-5849,File Copy,True,False
2011-05-01 12:07:38,SDH2394,PC-5849,File Copy,False,True
2011-05-01 12:09:16,SDH2394,PC-5849,File Delete,False,True
2011-05-01 12:10:20,SDH2394,PC-5849,File Copy,False,True
2011-05-01 12:10:26,DMH0011,PC-3875,File Open,False,False
2011-05-01 12:10:26,DMH0011,PC-3875,File Open,False,False
2011-05-01 12:10:35,SDH2394,PC-5849,File Open,False,True
2011-05-01 12:11:06,CJM0273,PC-3471,File Copy,True,False
2011-05-01 12:12:16,LWB2851,PC-5558,File Open,False,True
2011-05-01 12:15:22,SDH2394,PC-5849,File Write,True,False
2011-05-01 12:15:32,LWB2851,PC-5558,File Copy,True,False
2011-05-01 12:15:47,SDH2394,PC-5849,File Delete,False,True
2011-05-01 12:16:22,CJM0273,PC-3471,File Copy,True,False
2011-05-01 12:16:41,SDH2394,PC-5849,File Delete,False,True
2011-05-01 12:16:49,SDH2394,PC-5849,File Open,False,False
2011-05-01 12:17:19,SRR2711,PC-6931,File Open,False,False
2011-05-01 12:17:25,LWB2851,PC-5558,File Write,True,False
2011-05-01 12:17:27,SDH2394,PC-5849,File Open,False,False
2011-05-01 12:17:39,SDH2394,PC-5849,File Copy,True,False
2011-05-01 12:18:07,AKB2312,PC-0937,File Delete,False,True
2011-05-01 12:18:23,MJA2380,PC-2940,File Open,False,False
2011-05-01 12:20:00,SDH2394,PC-5849,File Copy,False,True
2011-05-01 12:20:33,MJA2380,PC-2940,File Open,False,False
2011-05-01 12:21:03,JDM1042,PC-1105,File Open,False,True
2011-05-01 12:21:24,SAR2066,PC-0983,File Open,False,False
2011-05-01 12:22:37,WRF3534,PC-7714,File Delete,False,True
2011-05-01 12:23:14,HHF1995,PC-4472,File Copy,True,False
2011-05-01 12:23:27,HHF1995,PC-4472,File Delete,False,True
2011-05-01 12:23:31,LCC1963,PC-1027,File Open,False,False
2011-05-01 12:23:35,HHF1995,PC-4472,File Delete,False,True
2011-05-01 12:24:04,HHF1995,PC-4472,File Copy,False,True
2011-05-01 12:24:07,JDM1042,PC-1105,File Copy,False,True
2011-05-01 12:24:08,JDM1042,PC-1105,File Copy,False,True
2011-05-01 12:24:32,HHF1995,PC-4472,File Copy,False,True
2011-05-01 12:24:39,HHF1995,PC-4472,File Copy,True,False
2011-05-01 12:24:52,HHF1995,PC-4472,File Copy,True,False
2011-05-01 12:24:53,JDM1042,PC-1105,File Write,True,False
2011-05-01 12:24:58,JDM1042,PC-1105,File Open,False,False
2011-05-01 12:25:23,AKB2312,PC-0937,File Delete,False,True
2011-05-01 12:26:06,HHF1995,PC-4472,File Copy,False,True
2011-05-01 12:26:11,HHF1995,PC-4472,File Copy,False,True
2011-05-01 12:26:17,JDM1042,PC-1105,File Open,False,False
2011-05-01 12:26:34,NSR2539,PC-3893,File Copy,False,True
2011-05-01 12:27:01,JDM1042,PC-1105,File Open,False,False
2011-05-01 12:27:05,HHF1995,PC-4472,File Write,True,False
2011-05-01 12:27:07,HHF1995,PC-4472,File Open,False,True
2011-05-01 12:27:08,JDM1042,PC-1105,File Copy,False,True
2011-05-01 12:27:33,HHF1995,PC-4472,File Delete,False,True
2011-05-01 12:27:45,HHF1995,PC-4472,File Open,False,True
2011-05-01 12:27:53,HHF1995,PC-4472,File Copy,False,True
2011-05-01 12:28:01,HHF1995,PC-4472,File Copy,True,False
2011-05-01 12:28:29,HHF1995,PC-4472,File Delete,False,True
2011-05-01 12:28:52,HHF1995,PC-4472,File Open,False,True
2011-05-01 12:28:55,HHF1995,PC-4472,File Open,False,False
2011-05-01 12:29:01,HHF1995,PC-4472,File Delete,False,True
2011-05-01 12:30:16,HHF1995,PC-4472,File Delete,False,True
2011-05-01 12:30:29,HHF1995,PC-4472,File Write,True,False
2011-05-01 12:30:38,LWB2851,PC-5558,File Open,False,False
2011-05-01 12:31:06,HHF1995,PC-4472,File Open,False,False
2011-05-01 12:31:08,HHF1995,PC-4472,File Copy,False,True
2011-05-01 12:31:11,HHF1995,PC-4472,File Open,False,True
2011-05-01 12:31:32,HHF1995,PC-4472,File Delete,False,True
2011-05-01 12:31:59,LWB2851,PC-5558,File Copy,False,True
2011-05-01 12:32:26,HHF1995,PC-4472,File Copy,True,False
2011-05-01 12:35:27,IMC3296,PC-2659,File Copy,False,True
2011-05-01 12:36:26,IMC3296,PC-2659,File Open,False,False
2011-05-01 12:36:33,RAA1455,PC-7117,File Copy,False,True
2011-05-01 12:37:03,RAA1455,PC-7117,File Open,False,False
2011-05-01 12:37:10,RAA1455,PC-7117,File Write,True,False
2011-05-01 12:41:14,AKB2312,PC-0937,File Open,False,True
2011-05-01 12:41:27,AKB2312,PC-0937,File Open,False,False
2011-05-01 12:41:56,RAA1455,PC-7117,File Copy,False,True
2011-05-01 12:42:33,ATT1191,PC-2057,File Copy,True,False
2011-05-01 12:43:49,CJM0273,PC-3471,File Copy,True,False
2011-05-01 12:44:12,RAA1455,PC-7117,File Write,True,False
2011-05-01 12:45:12,ATT1191,PC-2057,File Open,False,True
2011-05-01 12:46:03,HMM2628,PC-4056,File Open,False,False
2011-05-01 12:46:31,ATT1191,PC-2057,File Write,True,False
2011-05-01 12:47:03,CJM0273,PC-3471,File Copy,False,True
2011-05-01 12:47:59,CJM0273,PC-3471,File Delete,False,True
2011-05-01 12:48:35,AFP2709,PC-3154,File Delete,False,True
2011-05-01 12:50:05,IMC3296,PC-2659,File Copy,True,False
2011-05-01 12:50:08,CJM0273,PC-3471,File Delete,False,True
2011-05-01 12:50:14,CRC0348,PC-9798,File Open,False,False
2011-05-01 12:51:53,CJM0273,PC-3471,File Copy,True,False
2011-05-01 12:54:47,CJM0273,PC-3471,File Write,True,False
2011-05-01 12:56:13,AKB2312,PC-0937,File Copy,True,False
2011-05-01 12:56:42,CPC0724,PC-8032,File Copy,True,False
2011-05-01 12:57:40,CPC0724,PC-8032,File Open,False,False
2011-05-01 12:58:20,IMC3296,PC-2659,File Delete,False,True
2011-05-01 12:58:35,CPC0724,PC-8032,File Open,False,False
2011-05-01 13:00:47,CPC0724,PC-8032,File Copy,True,False
2011-05-01 13:01:07,CJM0273,PC-3471,File Open,False,True
2011-05-01 13:01:25,AKB2312,PC-0937,File Open,False,False
2011-05-01 13:02:33,CPC0724,PC-8032,File Copy,True,False
2011-05-01 13:05:02,CPC0724,PC-8032,File Copy,True,False
2011-05-01 13:05:47,IMC3296,PC-2659,File Copy,False,True
2011-05-01 13:06:36,ABD3426,PC-8657,File Copy,True,False
2011-05-01 13:06:49,CPC0724,PC-8032,File Copy,False,True
2011-05-01 13:07:10,IMC3296,PC-2659,File Delete,False,True
2011-05-01 13:07:30,CPC0724,PC-8032,File Copy,False,True
2011-05-01 13:07:34,JDM1042,PC-1105,File Copy,False,True
2011-05-01 13:08:32,AKB2312,PC-0937,File Copy,False,True
2011-05-01 13:08:40,NBT3447,PC-0882,File Open,False,False
2011-05-01 13:08:40,NBT3447,PC-0882,File Open,False,False
2011-05-01 13:08:40,NBT3447,PC-0882,File Open,False,False
2011-05-01 13:08:40,NBT3447,PC-0882,File Open,False,False
2011-05-01 13:08:40,NBT3447,PC-0882,File Open,False,False
2011-05-01 13:08:40,NBT3447,PC-0882,File Open,False,False
2011-05-01 13:09:17,MMR1695,PC-8796,File Open,False,False
2011-05-01 13:09:17,MMR1695,PC-8796,File Open,False,False
2011-05-01 13:10:26,ABD3426,PC-8657,File Delete,False,True
2011-05-01 13:11:57,AKB2312,PC-0937,File Copy,True,False
2011-05-01 13:16:03,SDH2394,PC-5849,File Open,False,True
2011-05-01 13:16:42,CPC0724,PC-8032,File Copy,False,True
2011-05-01 13:16:58,JSH3019,PC-3455,File Open,False,True
2011-05-01 13:21:26,MLW2240,PC-1960,File Copy,False,True
2011-05-01 13:22:36,JSH3019,PC-3455,File Write,True,False
2011-05-01 13:22:42,JEM0546,PC-0308,File Copy,True,False
2011-05-01 13:24:16,JSH3019,PC-3455,File Delete,False,True
2011-05-01 13:24:47,MLW2240,PC-1960,File Copy,False,True
2011-05-01 13:33:40,MLW2240,PC-1960,File Copy,True,False
2011-05-01 13:42:41,SDH2394,PC-5849,File Copy,False,True
2011-05-01 13:43:59,JEM0546,PC-0308,File Open,False,True
2011-05-01 13:47:43,GKL0006,PC-3525,File Delete,False,True
2011-05-01 13:47:46,GKL0006,PC-3525,File Delete,False,True
2011-05-01 13:47:47,GKL0006,PC-3525,File Open,False,True
2011-05-01 13:48:07,GKL0006,PC-3525,File Delete,False,True
2011-05-01 13:48:08,GKL0006,PC-3525,File Copy,True,False
2011-05-01 13:48:11,GKL0006,PC-3525,File Delete,False,True
2011-05-01 13:50:02,IMC3296,PC-2659,File Copy,True,False
2011-05-01 13:52:02,IMC3296,PC-2659,File Open,False,False
2011-05-01 13:59:54,ATT1191,PC-2057,File Open,False,True
2011-05-01 14:01:25,ATT1191,PC-2057,File Delete,False,True
2011-05-01 14:01:41,RCT1697,PC-5770,File Copy,False,True
2011-05-01 14:08:21,MLW2240,PC-1960,File Copy,False,True
2011-05-01 14:14:31,CHM1561,PC-7046,File Copy,True,False
2011-05-01 14:16:05,WRF3534,PC-7714,File Write,True,False
2011-05-01 14:16:51,YKW3832,PC-2158,File Copy,False,True
2011-05-01 14:17:03,YKW3832,PC-2158,File Open,False,False
2011-05-01 14:18:10,CHM1561,PC-7046,File Copy,True,False
2011-05-01 14:18:25,CHM1561,PC-7046,File Copy,True,False
2011-05-01 14:19:32,CJM0273,PC-3471,File Copy,True,False
2011-05-01 14:20:59,CJM0273,PC-3471,File Copy,False,True
2011-05-01 14:21:14,LLT0291,PC-1250,File Delete,False,True
2011-05-01 14:23:16,LLT0291,PC-1250,File Copy,True,False
2011-05-01 14:25:05,OCH2853,PC-2512,File Copy,True,False
2011-05-01 14:25:23,LLT0291,PC-1250,File Copy,False,True
2011-05-01 14:25:29,EDJ1970,PC-1301,File Open,False,False
2011-05-01 14:26:26,LLT0291,PC-1250,File Write,True,False
2011-05-01 14:26:35,WBB2321,PC-3292,File Open,False,False
2011-05-01 14:28:14,OCH2853,PC-2512,File Open,False,True
2011-05-01 14:30:45,OCH2853,PC-2512,File Delete,False,True
2011-05-01 14:31:58,OCH2853,PC-2512,File Copy,False,True
2011-05-01 14:34:03,ATT1191,PC-2057,File Open,False,False
2011-05-01 14:34:57,CHM1561,PC-7046,File Write,True,False
2011-05-01 14:35:46,ABD3426,PC-8657,File Copy,True,False
2011-05-01 14:36:46,CHM1561,PC-7046,File Open,False,False
2011-05-01 14:36:55,WBB2321,PC-3292,File Open,False,False
2011-05-01 14:37:22,OCH2853,PC-2512,File Open,False,True
2011-05-01 14:38:26,CHM1561,PC-7046,File Delete,False,True
2011-05-01 14:41:01,OCH2853,PC-2512,File Open,False,False
2011-05-01 14:41:26,CHM1561,PC-7046,File Copy,True,False
2011-05-01 14:41:40,CHM1561,PC-7046,File Copy,True,False
2011-05-01 14:42:03,AKH0454,PC-2966,File Open,False,False
2011-05-01 14:42:30,ATT1191,PC-2057,File Copy,True,False
2011-05-01 14:43:28,CPC0724,PC-8032,File Copy,False,True
2011-05-01 14:43:50,AKB2312,PC-0937,File Copy,True,False
2011-05-01 14:43:51,OCH2853,PC-2512,File Open,False,True
2011-05-01 14:44:54,CPC0724,PC-8032,File Copy,False,True
2011-05-01 14:47:51,IRS1337,PC-1290,File Open,False,False
2011-05-01 14:48:26,DCM3596,PC-0355,File Open,False,False
2011-05-01 14:48:32,AKB2312,PC-0937,File Write,True,False
2011-05-01 14:49:00,CHM1561,PC-7046,File Copy,False,True
2011-05-01 14:49:31,AKB2312,PC-0937,File Delete,False,True
2011-05-01 14:51:14,OCH2853,PC-2512,File Open,False,True
2011-05-01 14:54:24,CHM1561,PC-7046,File Delete,False,True
2011-05-01 14:54:25,CHM1561,PC-7046,File Copy,False,True
2011-05-01 14:54:31,CHM1561,PC-7046,File Delete,False,True
2011-05-01 14:55:22,CHM1561,PC-7046,File Open,False,True
2011-05-01 14:55:26,REC0283,PC-6764,File Delete,False,True
2011-05-01 14:55:34,CHM1561,PC-7046,File Copy,False,True
